part_of_speech,rank,word
verb,1,decide
verb,2,plan
verb,3,need
verb,4,suggest
verb,5,recommend
verb,6,report
verb,7,promise
verb,8,avoid
verb,9,celebrate
verb,10,consider
verb,11,contemplate
verb,12,defer
verb,13,delay
verb,14,detest
verb,15,dislike
verb,16,dread
verb,17,enjoy
verb,18,entail
verb,19,escape
verb,20,excuse
verb,21,forgive
verb,22,involve
verb,23,loathe
verb,24,mind
verb,25,miss
verb,26,pardon
verb,27,postpone
verb,28,prevent
verb,29,resent
verb,30,resist
verb,31,risk
verb,32,save
verb,33,stop
verb,34,acknowledge
verb,35,admit
verb,36,anticipate
verb,37,appreciate
verb,38,deny
verb,39,imagine
verb,40,mean
verb,41,mention
verb,42,propose
verb,43,recall
verb,44,recollect
verb,45,understand
verb,46,love
verb,47,prefer
verb,48,remember
verb,49,forget
verb,50,think
verb,51,want
verb,52,know
verb,53,feel
verb,54,believe
verb,55,seem
verb,56,say
verb,57,tell
verb,58,ask
verb,59,keep
verb,60,like
